transaction_id,transaction_date,customer_id,transaction_amount,currency_type,payment_method,transaction_status,transaction_description
1,2024-08-04,1011,207.34,USD,Debit Card,Failed,Coffee Shop
2,2024-08-14,1016,70.5,EUR,PayPal,Completed,Streaming Service
3,2024-08-05,1011,123.41,EUR,PayPal,Pending,Cinema
4,2024-08-10,1024,103.02,USD,Cash,Completed,Furniture Store
5,2024-08-14,1008,247.21,GBP,PayPal,Completed,Car Service
6,2024-08-06,1032,238.19,EUR,Cash,Failed,Online Shopping
7,2024-08-11,1036,66.3,USD,Credit Card,Failed,Hotel Reservation
8,2024-08-04,1032,253.26,GBP,Credit Card,Pending,Local Market
9,2024-08-01,1032,101.32,GBP,Wire Transfer,Pending,Gift Shop
10,2024-08-16,1028,70.56,EUR,Cash,Pending,Music Festival
11,2024-08-11,1006,284.14,USD,Wire Transfer,Pending,Flight Booking
12,2024-08-14,1005,261.13,EUR,PayPal,Completed,Invoice #12345
13,2024-08-13,1018,159.49,GBP,Credit Card,Completed,Cinema
14,2024-08-11,1028,269.81,EUR,Wire Transfer,Pending,Pharmacy Purchase
15,2024-08-15,1025,251.53,GBP,Credit Card,Pending,Restaurant
16,2024-08-15,1012,208.33,USD,Debit Card,Pending,Coffee Shop
17,2024-08-04,1012,249.9,GBP,Debit Card,Pending,Pet Supplies
18,2024-08-03,1032,58.9,GBP,Cash,Completed,Pet Supplies
19,2024-08-11,1004,196.83,USD,Debit Card,Pending,Charity Donation
20,2024-08-03,1016,93.2,USD,PayPal,Completed,Home Decor
21,2024-08-15,1030,283.59,EUR,PayPal,Pending,Local Market
22,2024-08-04,1034,106.36,GBP,Debit Card,Pending,Subscription Payment
23,2024-08-04,1025,181.8,USD,Cash,Pending,Online Auction
24,2024-08-06,1028,287.43,USD,Cash,Completed,Gift Shop
25,2024-08-03,1019,63.77,GBP,Debit Card,Failed,Invoice #12345
26,2024-08-03,1031,81.14,EUR,Credit Card,Completed,Online Learning
27,2024-08-15,1004,65.38,USD,Credit Card,Pending,Grocery Shopping
28,2024-08-14,1019,136.42,EUR,Cash,Failed,Cafe
29,2024-08-07,1016,274.52,GBP,Debit Card,Pending,Local Market
30,2024-08-12,1003,143.55,EUR,Credit Card,Failed,Subscription Renewal
31,2024-08-11,1028,156.8,GBP,Debit Card,Completed,Electronics Purchase
32,2024-08-04,1029,104.32,GBP,PayPal,Failed,Car Service
33,2024-08-12,1002,33.2,EUR,Cash,Completed,Cinema
34,2024-08-14,1013,83.38,EUR,PayPal,Completed,Pet Supplies
35,2024-08-10,1028,36.35,USD,PayPal,Failed,Home Decor
36,2024-08-15,1023,25.64,EUR,Wire Transfer,Failed,Purchase at Store A
37,2024-08-08,1007,109.31,USD,Cash,Pending,Bookstore
38,2024-08-09,1002,25.43,GBP,Credit Card,Pending,Restaurant Bill
39,2024-08-09,1023,198.33,USD,Debit Card,Completed,Clothing Store
40,2024-08-03,1007,156.72,USD,Cash,Pending,Restaurant
41,2024-08-11,1015,225.66,EUR,Credit Card,Failed,Cafe
42,2024-08-13,1001,221.94,EUR,Debit Card,Pending,Restaurant Bill
43,2024-08-14,1022,108.84,GBP,PayPal,Pending,Hotel Booking
44,2024-08-06,1034,258.78,EUR,PayPal,Completed,Coffee Shop
45,2024-08-08,1021,297.91,GBP,Wire Transfer,Completed,Hardware Store
46,2024-08-01,1034,216.32,EUR,Debit Card,Pending,Flight Booking
47,2024-08-10,1027,155.09,EUR,Credit Card,Failed,Pet Supplies
48,2024-08-07,1002,83.03,EUR,Debit Card,Failed,Online Auction
49,2024-08-15,1037,29.84,USD,PayPal,Completed,Hotel Reservation
50,2024-08-09,1003,50.7,EUR,Cash,Failed,Charity Donation
